molecule,n_bonds,strategy,init,comm_cutoff,final_energy,energy_drop,converge_step,mean_coverage,mean_acceptance,mean_neighbors
aspirin,3,isolated,etkdg,2.5,42.06689395820395,-0.44209092571743014,0,0.24074074074074073,0.6866666666666666,2.0
aspirin,3,isolated,etkdg,4.0,42.06689395820395,-0.44209092571743014,0,0.24074074074074073,0.6866666666666666,3.0
aspirin,3,isolated,etkdg,7.0,42.06689395820395,-0.44209092571743014,0,0.24074074074074073,0.6866666666666666,3.0
aspirin,3,isolated,random,2.5,42.0019375588175,13.334059081230798,50,0.3611111111111111,0.7193333333333335,2.0
aspirin,3,isolated,random,4.0,42.0019375588175,13.334059081230798,50,0.3611111111111111,0.7193333333333335,3.0
aspirin,3,isolated,random,7.0,42.0019375588175,13.334059081230798,50,0.3611111111111111,0.7193333333333335,3.0
aspirin,3,isolated,zeros,2.5,47.53262398286265,224.86206567665297,9,0.46296296296296297,0.6389999999999999,2.0
aspirin,3,isolated,zeros,4.0,47.53262398286265,224.86206567665297,9,0.46296296296296297,0.6389999999999999,3.0
aspirin,3,isolated,zeros,7.0,47.53262398286265,224.86206567665297,9,0.46296296296296297,0.6389999999999999,3.0
aspirin,3,isolated,anti,2.5,53.88290415717661,18716.30776157621,6,0.25925925925925924,0.363,2.0
aspirin,3,isolated,anti,4.0,53.88290415717661,18716.30776157621,6,0.25925925925925924,0.363,3.0
aspirin,3,isolated,anti,7.0,53.88290415717661,18716.30776157621,6,0.25925925925925924,0.363,3.0
aspirin,3,local_greed,etkdg,2.5,41.97195517828683,-0.3471521458003082,0,0.3518518518518518,0.54,2.0
aspirin,3,local_greed,etkdg,4.0,41.91914497194477,-0.29434193945824916,0,0.26851851851851855,0.5643333333333334,3.0
aspirin,3,local_greed,etkdg,7.0,41.91914497194477,-0.29434193945824916,0,0.26851851851851855,0.5643333333333334,3.0
aspirin,3,local_greed,random,2.5,42.8099090586438,12.526087581404504,20,0.4537037037037037,0.62,2.0
aspirin,3,local_greed,random,4.0,41.52644879168371,13.809547848364588,8,0.3055555555555555,0.638,3.0
aspirin,3,local_greed,random,7.0,41.52644879168371,13.809547848364588,8,0.3055555555555555,0.638,3.0
aspirin,3,local_greed,zeros,2.5,48.28089899245937,224.11379066705626,6,0.5,0.529,2.0
aspirin,3,local_greed,zeros,4.0,48.28089899245937,224.11379066705626,6,0.5,0.529,3.0
aspirin,3,local_greed,zeros,7.0,48.28089899245937,224.11379066705626,6,0.5,0.529,3.0
aspirin,3,local_greed,anti,2.5,54.28001995077169,18715.910645782613,29,0.2962962962962963,0.31866666666666665,2.0
aspirin,3,local_greed,anti,4.0,55.23406669833086,18714.956599035057,6,0.25925925925925924,0.3363333333333333,3.0
aspirin,3,local_greed,anti,7.0,55.23406669833086,18714.956599035057,6,0.25925925925925924,0.3363333333333333,3.0
aspirin,3,consensus,etkdg,2.5,41.696106768850804,-0.07130373636428544,0,0.23148148148148148,0.666,2.0
aspirin,3,consensus,etkdg,4.0,41.5919656512364,0.03283738125011837,0,0.25,0.6030000000000001,3.0
aspirin,3,consensus,etkdg,7.0,41.5919656512364,0.03283738125011837,0,0.25,0.6030000000000001,3.0
aspirin,3,consensus,random,2.5,45.00521611850357,10.330780521544732,8,0.25,0.4573333333333333,2.0
aspirin,3,consensus,random,4.0,45.79114818599403,9.544848454054268,8,0.1388888888888889,0.18400000000000002,3.0
aspirin,3,consensus,random,7.0,45.79114818599403,9.544848454054268,8,0.1388888888888889,0.18400000000000002,3.0
aspirin,3,consensus,zeros,2.5,49.27243654533579,223.12225311417984,30,0.5462962962962963,0.4696666666666667,2.0
aspirin,3,consensus,zeros,4.0,48.17719648661909,224.21749317289652,32,0.23148148148148148,0.205,3.0
aspirin,3,consensus,zeros,7.0,48.17719648661909,224.21749317289652,32,0.23148148148148148,0.205,3.0
aspirin,3,consensus,anti,2.5,79.70384496990712,18690.48682076348,12,0.14814814814814814,0.09400000000000001,2.0
aspirin,3,consensus,anti,4.0,170.38335304457124,18599.807312688816,13,0.10185185185185186,0.04633333333333334,3.0
aspirin,3,consensus,anti,7.0,170.38335304457124,18599.807312688816,13,0.10185185185185186,0.04633333333333334,3.0
aspirin,3,adaptive_density,etkdg,2.5,41.68647071104532,-0.0616676785587984,0,0.4537037037037037,0.399,2.0
aspirin,3,adaptive_density,etkdg,4.0,43.894627611060244,-2.2698245785737257,0,0.4166666666666667,0.4043333333333334,3.0
aspirin,3,adaptive_density,etkdg,7.0,43.894627611060244,-2.2698245785737257,0,0.4166666666666667,0.4043333333333334,3.0
aspirin,3,adaptive_density,random,2.5,42.16539265847267,13.170603981575631,39,0.49074074074074076,0.43,2.0
aspirin,3,adaptive_density,random,4.0,42.453570142212484,12.882426497835816,27,0.47222222222222227,0.4643333333333333,3.0
aspirin,3,adaptive_density,random,7.0,42.453570142212484,12.882426497835816,27,0.47222222222222227,0.4643333333333333,3.0
aspirin,3,adaptive_density,zeros,2.5,47.36429422490123,225.03039543461438,8,0.5185185185185185,0.3766666666666667,2.0
aspirin,3,adaptive_density,zeros,4.0,47.056489661594426,225.3381999979212,8,0.5185185185185185,0.39833333333333326,3.0
aspirin,3,adaptive_density,zeros,7.0,47.056489661594426,225.3381999979212,8,0.5185185185185185,0.39833333333333326,3.0
aspirin,3,adaptive_density,anti,2.5,64.71192207741684,18705.478743655967,4,0.2962962962962963,0.3333333333333333,2.0
aspirin,3,adaptive_density,anti,4.0,55.28566919051617,18714.90499654287,5,0.3240740740740741,0.332,3.0
aspirin,3,adaptive_density,anti,7.0,55.28566919051617,18714.90499654287,5,0.3240740740740741,0.332,3.0
aspirin,3,gradient_exchange,etkdg,2.5,42.83316965431497,-1.2083666218284534,0,0.2407407407407407,0.6836666666666668,2.0
aspirin,3,gradient_exchange,etkdg,4.0,41.54691809059873,0.07788494188778827,0,0.24074074074074073,0.6913333333333332,3.0
aspirin,3,gradient_exchange,etkdg,7.0,41.54691809059873,0.07788494188778827,0,0.24074074074074073,0.6913333333333332,3.0
aspirin,3,gradient_exchange,random,2.5,43.634291330673236,11.701705309375065,32,0.5092592592592592,0.7166666666666667,2.0
aspirin,3,gradient_exchange,random,4.0,44.0404204703634,11.2955761696849,27,0.3333333333333333,0.7126666666666667,3.0
aspirin,3,gradient_exchange,random,7.0,44.0404204703634,11.2955761696849,27,0.3333333333333333,0.7126666666666667,3.0
aspirin,3,gradient_exchange,zeros,2.5,46.60207332790819,225.79261633160743,35,0.40740740740740744,0.646,2.0
aspirin,3,gradient_exchange,zeros,4.0,43.10624995948318,229.28843970003243,57,0.4166666666666667,0.6483333333333333,3.0
aspirin,3,gradient_exchange,zeros,7.0,43.10624995948318,229.28843970003243,57,0.4166666666666667,0.6483333333333333,3.0
aspirin,3,gradient_exchange,anti,2.5,54.261147640183694,18715.929518093202,16,0.20370370370370372,0.3506666666666667,2.0
aspirin,3,gradient_exchange,anti,4.0,53.92344385431387,18716.267221879072,8,0.19444444444444442,0.3526666666666667,3.0
aspirin,3,gradient_exchange,anti,7.0,53.92344385431387,18716.267221879072,8,0.19444444444444442,0.3526666666666667,3.0
lidocaine,6,isolated,etkdg,2.5,108.59654133010869,-0.0374146326248308,0,0.23611111111111108,0.5801666666666667,9.0
lidocaine,6,isolated,etkdg,4.0,108.59654133010869,-0.0374146326248308,0,0.23611111111111108,0.5801666666666667,13.001
lidocaine,6,isolated,etkdg,7.0,108.59654133010869,-0.0374146326248308,0,0.23611111111111108,0.5801666666666667,15.0
lidocaine,6,isolated,random,2.5,135.69056012408055,86.52721848366534,3,0.23148148148148148,0.5031666666666667,10.044
lidocaine,6,isolated,random,4.0,135.69056012408055,86.52721848366534,3,0.23148148148148148,0.5031666666666667,14.799
lidocaine,6,isolated,random,7.0,135.69056012408055,86.52721848366534,3,0.23148148148148148,0.5031666666666667,15.0
lidocaine,6,isolated,zeros,2.5,151.37733798417833,21712.41965533707,8,0.17592592592592593,0.24083333333333332,10.0
lidocaine,6,isolated,zeros,4.0,151.37733798417833,21712.41965533707,8,0.17592592592592593,0.24083333333333332,13.0
lidocaine,6,isolated,zeros,7.0,151.37733798417833,21712.41965533707,8,0.17592592592592593,0.24083333333333332,15.0
lidocaine,6,isolated,anti,2.5,204.5263389005812,150133.63661055564,15,0.23611111111111108,0.25833333333333336,9.993
lidocaine,6,isolated,anti,4.0,204.5263389005812,150133.63661055564,15,0.23611111111111108,0.25833333333333336,14.055
lidocaine,6,isolated,anti,7.0,204.5263389005812,150133.63661055564,15,0.23611111111111108,0.25833333333333336,15.0
lidocaine,6,local_greed,etkdg,2.5,106.07812271649033,2.4810039809935347,10,0.2037037037037037,0.5153333333333334,9.0
lidocaine,6,local_greed,etkdg,4.0,106.42919830848072,2.1299283890031404,6,0.20833333333333334,0.4910000000000001,13.003
lidocaine,6,local_greed,etkdg,7.0,106.06678584992628,2.4923408475575854,6,0.1898148148148148,0.46133333333333343,15.0
lidocaine,6,local_greed,random,2.5,163.48869303526595,58.72908557247993,2,0.2546296296296296,0.3798333333333333,10.051
lidocaine,6,local_greed,random,4.0,128.7609557183738,93.45682288937209,10,0.22685185185185186,0.3288333333333333,14.923
lidocaine,6,local_greed,random,7.0,143.78865477034503,78.42912383740085,8,0.2222222222222222,0.3551666666666667,15.0
lidocaine,6,local_greed,zeros,2.5,131.74615917372586,21732.05083414752,13,0.18055555555555558,0.2061666666666667,10.0
lidocaine,6,local_greed,zeros,4.0,158.470273659879,21705.32671966137,11,0.19444444444444445,0.22799999999999998,13.0
lidocaine,6,local_greed,zeros,7.0,142.19151423142029,21721.605479089827,8,0.1990740740740741,0.20866666666666667,15.0
lidocaine,6,local_greed,anti,2.5,162.8576714062748,150175.30527804996,10,0.2222222222222222,0.26966666666666667,9.997
lidocaine,6,local_greed,anti,4.0,2455.1303832801373,147883.0325661761,3,0.23611111111111108,0.2678333333333333,14.069
lidocaine,6,local_greed,anti,7.0,189.11536369918247,150149.04758575704,8,0.23148148148148143,0.278,15.0
lidocaine,6,consensus,etkdg,2.5,107.43161926333563,1.127507434148228,2,0.23148148148148148,0.5361666666666667,9.0
lidocaine,6,consensus,etkdg,4.0,105.09846945098604,3.460657246497817,6,0.2175925925925926,0.3825,13.003
lidocaine,6,consensus,etkdg,7.0,105.24537291252479,3.3137537849590757,8,0.2175925925925926,0.5215,15.0
lidocaine,6,consensus,random,2.5,127.11991832684369,95.0978602809022,12,0.060185185185185196,0.051333333333333335,10.0
lidocaine,6,consensus,random,4.0,107.16331706968478,115.0544615380611,12,0.12962962962962962,0.19233333333333333,13.0
lidocaine,6,consensus,random,7.0,112.64367593456575,109.57410267318014,12,0.06018518518518518,0.058499999999999996,15.0
lidocaine,6,consensus,zeros,2.5,317.62045291134604,21546.176540409902,95,0.09722222222222222,0.0325,10.0
lidocaine,6,consensus,zeros,4.0,199.23203047386048,21664.564962847388,18,0.0925925925925926,0.0855,13.0
lidocaine,6,consensus,zeros,7.0,21457.59703344741,406.19995987383663,86,0.06481481481481483,0.017833333333333333,15.0
lidocaine,6,consensus,anti,2.5,238.48477923827966,150099.67817021793,15,0.08333333333333333,0.051666666666666666,10.0
lidocaine,6,consensus,anti,4.0,517.3102037496781,149820.85274570654,28,0.05092592592592593,0.012166666666666666,14.0
lidocaine,6,consensus,anti,7.0,517.3102037496781,149820.85274570654,28,0.05092592592592593,0.012166666666666666,15.0
lidocaine,6,adaptive_density,etkdg,2.5,97.29349913321062,11.265627564273245,532,0.26851851851851855,0.3581666666666667,9.0
lidocaine,6,adaptive_density,etkdg,4.0,99.07322512159982,9.485901575884043,124,0.27777777777777773,0.373,14.009
lidocaine,6,adaptive_density,etkdg,7.0,99.17284433238885,9.386282365095013,498,0.2638888888888889,0.3766666666666667,15.0
lidocaine,6,adaptive_density,random,2.5,154.64790944519058,67.5698691625553,3,0.27777777777777773,0.3336666666666666,10.062
lidocaine,6,adaptive_density,random,4.0,174.36257100143638,47.855207606309506,2,0.25925925925925924,0.3465,14.803
lidocaine,6,adaptive_density,random,7.0,656.7603863811497,-434.5426077734038,0,0.2824074074074074,0.3468333333333333,15.0
lidocaine,6,adaptive_density,zeros,2.5,147.88234001771684,21715.91465330353,8,0.1851851851851852,0.2885,10.0
lidocaine,6,adaptive_density,zeros,4.0,127.9839348152058,21735.813058506043,9,0.16666666666666666,0.2838333333333333,13.0
lidocaine,6,adaptive_density,zeros,7.0,107.03485891558194,21756.762134405668,13,0.14814814814814817,0.25466666666666665,15.0
lidocaine,6,adaptive_density,anti,2.5,141.0344779240694,150197.12847153217,10,0.25462962962962965,0.30866666666666664,9.995
lidocaine,6,adaptive_density,anti,4.0,143.05331313392378,150195.1096363223,20,0.28703703703703703,0.31649999999999995,14.075
lidocaine,6,adaptive_density,anti,7.0,144.5285092892446,150193.63444016696,12,0.2824074074074074,0.315,15.0
lidocaine,6,gradient_exchange,etkdg,2.5,106.08493247891052,2.474194218573345,4,0.2175925925925926,0.5853333333333334,9.0
lidocaine,6,gradient_exchange,etkdg,4.0,99.07858788290056,9.480538814583298,562,0.28240740740740744,0.5790000000000001,13.494
lidocaine,6,gradient_exchange,etkdg,7.0,105.68877418927002,2.8703525082138412,4,0.20833333333333334,0.5825,15.0
lidocaine,6,gradient_exchange,random,2.5,133.0278912562531,89.18988735149279,1,0.2314814814814815,0.49500000000000005,10.057
lidocaine,6,gradient_exchange,random,4.0,161.13587304665586,61.081905561090025,1,0.2175925925925926,0.5059999999999999,14.774
lidocaine,6,gradient_exchange,random,7.0,136.54004942963007,85.67772917811581,1,0.21296296296296294,0.498,15.0
lidocaine,6,gradient_exchange,zeros,2.5,140.4220589352712,21723.374934385978,6,0.1388888888888889,0.2225,10.0
lidocaine,6,gradient_exchange,zeros,4.0,185.32005516236308,21678.476938158885,3,0.15277777777777776,0.2265,13.0
lidocaine,6,gradient_exchange,zeros,7.0,168.32278054288918,21695.474212778357,3,0.14814814814814814,0.23850000000000002,15.0
lidocaine,6,gradient_exchange,anti,2.5,387.61444065420767,149950.54850880202,1,0.18518518518518515,0.2593333333333333,9.998
lidocaine,6,gradient_exchange,anti,4.0,206.22053861419386,150131.94241084202,1,0.21296296296296294,0.261,14.073
lidocaine,6,gradient_exchange,anti,7.0,237.90891823746233,150100.25403121876,1,0.19907407407407407,0.25533333333333336,15.0
fluoxetine,7,isolated,etkdg,2.5,100.09389460224034,7.449735846570746,100,0.39285714285714285,0.6215714285714286,11.0
fluoxetine,7,isolated,etkdg,4.0,100.09389460224034,7.449735846570746,100,0.39285714285714285,0.6215714285714286,14.676
fluoxetine,7,isolated,etkdg,7.0,100.09389460224034,7.449735846570746,100,0.39285714285714285,0.6215714285714286,20.183
fluoxetine,7,isolated,random,2.5,145.22833184609772,60.0455567487671,307,0.3174603174603175,0.41185714285714287,11.0
fluoxetine,7,isolated,random,4.0,145.22833184609772,60.0455567487671,307,0.3174603174603175,0.41185714285714287,14.014
fluoxetine,7,isolated,random,7.0,145.22833184609772,60.0455567487671,307,0.3174603174603175,0.41185714285714287,20.0
fluoxetine,7,isolated,zeros,2.5,187.5765359786978,18755012.49315278,15,0.2579365079365079,0.18414285714285716,12.021
fluoxetine,7,isolated,zeros,4.0,187.5765359786978,18755012.49315278,15,0.2579365079365079,0.18414285714285716,15.004
fluoxetine,7,isolated,zeros,7.0,187.5765359786978,18755012.49315278,15,0.2579365079365079,0.18414285714285716,21.0
fluoxetine,7,isolated,anti,2.5,126.68495628665197,297.67928952846296,42,0.2976190476190476,0.4687142857142857,11.0
fluoxetine,7,isolated,anti,4.0,126.68495628665197,297.67928952846296,42,0.2976190476190476,0.4687142857142857,14.0
fluoxetine,7,isolated,anti,7.0,126.68495628665197,297.67928952846296,42,0.2976190476190476,0.4687142857142857,19.932
fluoxetine,7,local_greed,etkdg,2.5,104.4044656648305,3.13916478398059,5,0.4246031746031746,0.4855714285714286,11.0
fluoxetine,7,local_greed,etkdg,4.0,98.95018419797192,8.593446250839165,104,0.3531746031746032,0.4961428571428571,14.348
fluoxetine,7,local_greed,etkdg,7.0,103.25235579203495,4.291274656776139,15,0.3611111111111111,0.5037142857142857,19.443
fluoxetine,7,local_greed,random,2.5,312.6775459490196,-107.40365735415477,0,0.30158730158730157,0.37785714285714284,11.0
fluoxetine,7,local_greed,random,4.0,152.7299232607782,52.54396533408661,17,0.28968253968253965,0.3878571428571429,14.005
fluoxetine,7,local_greed,random,7.0,154.78799577895848,50.48589281590634,21,0.2380952380952381,0.4001428571428572,20.0
fluoxetine,7,local_greed,zeros,2.5,15056.733017883727,18740143.33667087,9,0.28174603174603174,0.21757142857142858,14.008
fluoxetine,7,local_greed,zeros,4.0,187.55854505018084,18755012.511143707,16,0.28968253968253965,0.18557142857142855,15.002
fluoxetine,7,local_greed,zeros,7.0,244.9397838929104,18754955.129904862,10,0.20238095238095238,0.18414285714285714,20.015
fluoxetine,7,local_greed,anti,2.5,117.16082531830375,307.2034204968112,25,0.28968253968253965,0.4042857142857143,11.0
fluoxetine,7,local_greed,anti,4.0,107.30480610651716,317.0594397085978,53,0.30158730158730157,0.36214285714285716,14.0
fluoxetine,7,local_greed,anti,7.0,123.21447807978507,301.1497677353299,7,0.2698412698412698,0.3608571428571428,19.944
fluoxetine,7,consensus,etkdg,2.5,101.7172550114715,5.826375437339593,63,0.2738095238095238,0.22071428571428572,11.0
fluoxetine,7,consensus,etkdg,4.0,112.35420467328156,-4.8105742244704714,0,0.29761904761904756,0.23628571428571427,14.946
fluoxetine,7,consensus,etkdg,7.0,100.51980793166054,7.023822517150549,51,0.23412698412698413,0.10414285714285716,19.023
fluoxetine,7,consensus,random,2.5,168.3376699793071,36.93621861555772,19,0.20238095238095238,0.2337142857142857,11.0
fluoxetine,7,consensus,random,4.0,196.1467166199258,9.127171974939017,1,0.17063492063492064,0.15742857142857145,15.0
fluoxetine,7,consensus,random,7.0,197.07829518676039,8.195593408104429,1,0.03174603174603175,0.024857142857142855,20.0
fluoxetine,7,consensus,zeros,2.5,424054.0262585824,18331146.043430172,18,0.23015873015873017,0.18857142857142856,14.0
fluoxetine,7,consensus,zeros,4.0,424169.7275297838,18331030.342158973,21,0.21428571428571427,0.14785714285714285,16.0
fluoxetine,7,consensus,zeros,7.0,424169.5747109167,18331030.49497784,20,0.07936507936507939,0.014285714285714287,21.0
fluoxetine,7,consensus,anti,2.5,144.1529052020151,280.2113406130999,18,0.2380952380952381,0.2845714285714286,11.0
fluoxetine,7,consensus,anti,4.0,144.32830583639833,280.0359399787166,22,0.21031746031746032,0.21085714285714285,14.0
fluoxetine,7,consensus,anti,7.0,144.7440448309946,279.62020098412034,18,0.07142857142857142,0.07157142857142858,19.821
fluoxetine,7,adaptive_density,etkdg,2.5,115.86604838888027,-8.322417940069187,0,0.380952380952381,0.45185714285714285,11.0
fluoxetine,7,adaptive_density,etkdg,4.0,100.2014195064261,7.34221094238498,45,0.38492063492063494,0.46242857142857136,14.618
fluoxetine,7,adaptive_density,etkdg,7.0,100.93161041319442,6.612020035616666,59,0.38095238095238093,0.47285714285714286,19.998
fluoxetine,7,adaptive_density,random,2.5,148.6407699645543,56.63311863031052,64,0.30555555555555564,0.38785714285714284,11.0
